user_id,item_id,rating
1,42,0
1,492,0
1,435,0
1,490,0
1,460,1
1,461,0
1,329,0
1,305,0
2,499,1
2,368,0
2,303,0
2,465,0
2,332,0
2,226,1
3,34,1
3,7,1
3,237,0
3,283,1
3,76,0
3,410,1
3,191,1
3,285,0
4,221,1
4,173,1
4,386,1
4,153,0
4,386,0
4,408,1
4,477,1
4,438,0
4,103,1
4,382,1
4,389,0
4,330,1
4,397,0
5,82,0
5,459,0
5,251,1
5,228,1
5,235,0
5,21,0
5,53,1
5,110,1
5,389,1
5,301,0
5,221,0
5,217,0
5,386,1
5,497,1
6,324,1
6,72,0
6,150,1
6,91,1
6,41,1
6,184,1
6,415,0
6,113,1
6,105,0
6,56,1
7,146,0
7,25,1
7,325,0
7,421,0
7,98,0
7,447,0
7,385,0
7,100,0
7,32,0
7,269,1
8,103,1
8,197,0
8,234,1
8,422,0
8,463,1
8,316,0
9,420,1
9,199,0
9,454,1
9,212,1
9,364,0
9,184,0
9,161,1
9,445,0
9,147,0
9,274,1
9,498,1
9,25,1
10,469,0
10,261,1
10,432,0
10,414,1
10,4,0
10,203,0
10,82,1
10,339,0
10,192,0
10,103,0
10,408,1
11,33,0
11,97,1
11,221,0
11,117,0
11,492,0
11,174,1
11,398,0
11,257,1
11,87,0
11,371,0
11,303,1
11,338,0
12,20,1
12,138,1
12,155,0
12,479,0
12,289,1
13,308,0
13,479,0
13,161,1
13,425,1
13,309,1
13,78,0
13,289,1
13,178,0
14,222,0
14,409,0
14,139,0
14,72,1
14,264,1
14,72,1
14,422,1
14,287,1
14,251,0
14,311,1
14,36,0
15,79,1
15,393,1
15,149,1
15,323,1
15,113,0
15,309,0
15,428,0
15,154,1
16,175,0
16,33,0
16,348,1
16,124,0
16,46,0
16,397,1
16,315,0
17,249,1
17,276,0
17,428,1
17,325,1
17,85,0
17,78,0
17,135,1
17,54,1
17,171,0
17,266,0
17,48,1
18,426,1
18,137,0
18,61,0
18,467,1
18,48,1
18,61,0
18,495,0
18,121,0
18,386,0
18,330,1
18,430,1
19,191,1
19,371,1
19,124,0
19,378,0
19,389,0
19,287,0
19,4,1
19,500,0
20,252,0
20,104,1
20,379,1
20,421,0
20,328,0
20,490,0
20,64,0
20,476,0
20,403,0
20,220,0
20,69,1
21,405,0
21,2,1
21,456,1
21,334,0
21,104,1
21,111,1
21,15,1
21,7,1
21,293,1
21,215,0
21,314,1
21,212,1
21,31,1
22,170,0
22,334,1
22,84,0
22,132,1
22,101,1
22,449,0
22,383,0
22,372,1
22,206,0
22,308,0
22,10,0
23,345,0
23,185,1
23,321,0
23,455,1
23,147,0
23,154,0
23,321,1
23,50,1
23,366,0
23,348,1
23,120,0
23,289,0
23,308,0
23,148,1
23,488,1
24,223,0
24,369,1
24,119,0
24,60,1
24,187,0
24,77,1
24,457,1
24,291,1
24,462,1
24,25,0
24,78,1
24,309,0
24,353,0
25,327,0
25,255,1
25,304,0
25,57,0
25,385,1
25,200,1
25,368,1
26,60,1
26,266,0
26,334,1
26,260,0
26,166,1
26,224,0
26,498,0
26,140,1
27,133,0
27,68,0
27,337,1
27,337,0
27,233,1
27,84,0
27,41,1
27,252,1
27,401,0
27,101,0
27,170,1
27,371,1
27,442,0
27,407,0
27,279,0
28,64,0
28,340,0
28,326,1
28,153,0
28,17,1
28,97,1
28,204,1
28,189,1
28,115,1
28,343,0
28,108,0
28,375,1
28,458,0
29,401,1
29,131,0
29,375,1
29,45,1
29,333,1
29,397,1
29,18,1
29,331,0
29,35,0
29,201,0
29,206,1
29,472,1
29,137,1
29,437,1
29,70,0
30,25,1
30,104,0
30,231,1
30,493,1
30,496,0
30,448,1
31,407,0
31,209,0
31,2,1
31,79,0
31,230,1
31,395,1
31,188,1
31,187,1
31,289,0
31,83,0
31,303,1
31,494,0
31,392,0
31,23,0
31,83,0
32,306,0
32,443,0
32,134,0
32,33,1
32,150,0
32,375,0
32,272,0
33,272,0
33,168,0
33,488,1
33,213,1
33,188,0
33,194,1
33,169,0
33,375,1
33,342,1
34,385,1
34,235,0
34,220,0
34,456,1
34,188,0
34,483,1
34,90,0
34,175,1
34,22,1
34,205,1
35,85,0
35,454,0
35,134,0
35,156,0
35,40,0
35,348,0
35,115,0
35,59,0
35,55,1
35,367,1
35,160,1
35,211,0
36,83,1
36,16,1
36,203,1
36,233,1
36,457,0
36,210,1
36,499,1
36,409,1
36,62,0
36,297,1
37,471,1
37,418,1
37,415,1
37,438,1
37,397,1
37,304,1
37,343,0
37,487,1
37,108,0
37,188,0
37,439,0
37,83,0
38,97,1
38,166,0
38,288,1
38,33,0
38,361,0
38,64,0
38,252,0
38,180,1
38,85,0
38,464,1
38,223,0
38,369,1
38,125,0
38,135,1
38,176,1
39,105,1
39,335,0
39,296,1
39,154,0
39,159,0
39,455,1
40,120,0
40,96,1
40,193,0
40,88,1
40,186,0
40,231,0
40,485,0
40,466,1
40,114,1
40,471,1
40,203,0
40,334,1
41,146,1
41,285,0
41,222,1
41,380,0
41,233,1
41,145,0
41,81,1
41,289,1
41,85,0
41,50,0
41,334,1
42,16,1
42,478,0
42,415,1
42,328,0
42,98,1
42,36,0
42,158,0
42,65,0
42,445,1
42,216,1
43,85,0
43,493,0
43,96,0
43,418,1
43,254,1
43,451,1
43,291,0
43,304,0
43,74,0
43,428,1
43,365,0
43,451,1
44,423,1
44,346,1
44,16,0
44,483,0
44,189,1
44,474,0
44,334,0
44,179,0
44,88,1
45,183,0
45,162,1
45,208,1
45,285,1
45,158,0
45,26,1
45,309,0
45,405,1
46,475,0
46,442,0
46,441,1
46,264,1
46,56,0
46,269,1
46,208,0
46,332,1
46,306,1
46,274,0
46,19,1
46,53,1
46,11,1
47,382,1
47,450,1
47,81,1
47,432,0
47,292,1
47,109,0
48,244,0
48,39,0
48,294,1
48,312,1
48,285,0
48,457,1
49,158,1
49,150,0
49,327,0
49,51,0
49,243,0
49,89,0
49,180,1
49,406,1
49,268,0
49,125,1
49,199,1
49,296,1
50,91,1
50,83,1
50,317,0
50,465,0
50,470,0
51,183,0
51,235,1
51,134,1
51,101,1
51,112,1
51,496,0
51,303,1
51,378,1
51,443,1
52,430,0
52,177,1
52,79,0
52,363,0
52,407,1
52,187,0
52,34,1
52,118,1
52,397,1
52,265,0
52,327,0
52,369,0
52,34,1
52,204,1
53,125,1
53,72,1
53,224,1
53,27,1
53,434,0
53,104,1
53,423,0
53,111,0
53,375,0
53,213,0
53,139,0
53,426,0
54,438,1
54,289,0
54,130,0
54,123,1
54,404,0
54,62,1
54,137,1
54,416,0
54,114,0
54,306,1
55,482,1
55,144,0
55,430,1
55,351,1
55,172,0
55,154,1
55,243,0
55,465,1
55,341,0
56,245,1
56,345,1
56,246,0
56,1,0
56,391,0
56,78,0
56,392,0
56,458,1
56,24,0
56,192,0
56,142,1
56,221,1
56,493,0
56,330,1
57,483,0
57,109,1
57,171,1
57,55,1
57,27,1
58,5,0
58,17,0
58,428,0
58,439,0
58,317,1
58,45,1
58,44,1
58,360,0
58,445,0
58,67,1
58,360,0
59,13,1
59,489,1
59,212,1
59,8,0
59,477,1
59,123,1
59,472,1
60,490,1
60,366,1
60,21,0
60,390,0
60,469,0
60,95,0
60,209,1
60,382,1
60,306,0
60,221,0
60,202,0
61,10,1
61,324,1
61,422,1
61,170,1
61,195,0
61,235,1
61,248,1
61,57,1
61,93,1
62,287,1
62,195,1
62,150,0
62,222,0
62,115,1
62,400,0
62,437,1
62,321,0
62,97,0
62,271,1
62,284,1
62,361,1
62,263,1
62,124,1
63,175,0
63,312,1
63,173,0
63,128,1
63,499,0
63,389,1
63,482,1
64,253,1
64,434,1
64,220,0
64,426,1
64,396,0
64,26,0
64,82,1
64,311,0
64,84,0
64,153,1
64,15,1
64,86,0
64,60,0
64,484,0
64,23,0
65,282,0
65,18,1
65,418,1
65,381,0
65,369,1
65,255,0
65,187,1
65,60,1
65,465,1
65,412,0
65,200,0
65,298,1
65,99,0
65,358,0
65,264,1
66,99,1
66,87,1
66,308,1
66,22,0
66,237,1
66,42,1
67,435,0
67,167,0
67,466,0
67,99,0
67,6,1
67,424,0
67,217,1
67,49,0
67,220,0
67,342,1
67,263,0
68,138,1
68,418,1
68,462,0
68,304,0
68,458,0
68,422,1
68,417,1
68,318,0
68,488,1
68,324,0
68,154,1
69,225,1
69,98,0
69,435,1
69,147,0
69,76,1
69,35,0
69,477,0
69,9,0
69,124,0
70,328,0
70,126,0
70,290,1
70,5,1
70,167,1
70,343,1
70,256,1
70,438,1
70,2,1
71,317,1
71,430,1
71,472,0
71,396,0
71,43,1
71,476,1
71,336,1
71,23,1
71,285,0
71,349,0
72,394,0
72,241,0
72,259,1
72,434,0
72,246,1
72,332,0
72,407,0
72,130,1
72,319,1
72,163,1
72,121,1
72,346,1
73,1,0
73,255,0
73,381,1
73,210,0
73,259,0
73,256,0
73,486,1
73,249,1
74,304,1
74,298,0
74,474,1
74,71,1
74,1,1
74,330,1
75,27,1
75,203,1
75,115,0
75,334,0
75,85,1
75,207,0
75,131,0
75,253,0
75,406,1
75,332,1
75,475,0
75,197,0
75,363,0
75,469,1
75,226,0
76,38,0
76,326,0
76,450,0
76,285,0
76,15,0
76,493,1
76,469,0
76,311,0
77,483,0
77,448,0
77,273,0
77,84,1
77,25,1
77,260,1
77,357,0
77,461,1
77,498,0
77,305,1
77,75,0
77,198,1
77,76,0
77,23,1
78,15,1
78,203,0
78,245,0
78,40,0
78,111,0
78,341,0
78,186,1
78,84,0
78,99,1
78,182,0
78,323,0
78,487,0
78,473,0
78,211,0
78,219,0
79,124,1
79,420,1
79,343,0
79,177,0
79,231,1
79,212,0
79,125,0
79,411,0
80,6,0
80,281,1
80,250,0
80,25,1
80,452,0
80,38,1
81,88,1
81,20,1
81,407,1
81,360,0
81,467,0
81,274,1
81,124,0
81,176,1
81,459,0
81,280,0
81,3,0
81,486,0
81,180,0
81,350,0
81,236,0
82,116,1
82,215,0
82,333,0
82,307,0
82,351,0
82,386,1
83,34,1
83,486,0
83,109,0
83,332,0
83,357,1
83,388,0
83,426,0
83,29,0
83,57,1
83,251,1
83,50,1
83,151,0
83,356,1
84,152,0
84,399,0
84,346,0
84,442,1
84,376,1
84,230,1
85,207,0
85,311,1
85,379,0
85,381,1
85,43,1
86,115,1
86,232,0
86,302,1
86,145,1
86,26,0
86,128,1
86,424,1
86,324,1
